year,sideA,sideB,weight,agression
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2019,santa rosa de lima cartel,huachicoleros (mexico),1,2.833213344056216
2020,grupo delta gang,la barredora gang,1,0
2020,cartel jalisco nueva generacion,la familia michoacan cartel,28,12.442199547202511
2020,cartel jalisco nueva generacion,la familia michoacan cartel,28,12.442199547202511
2019,gente nueva cartel,la linea gang,1,0
2018,los aztecas gang,la linea gang,1,0
2020,la union tepito,la ronda 88 gang,1,2.0794415416798357
2018,la union tepito,la union insurgentes,1,2.0794415416798357
2019,fuerza anti union,la union tepito,2,7.05617528410041
2019,fuerza anti union,la union tepito,2,7.05617528410041
2019,la union tepito,la union tepito,1,2.0794415416798357
2018,el carrizal de bravo communal militia (mexico),leonardo bravo communal militia (mexico),1,0
2018,la linea gang,los aztecas gang,1,2.0794415416798357
2020,cartel jalisco nueva generacion,los cabrera gang,1,12.442199547202511
2020,los viagras gang,los cinco del pueblo gang,1,3.295836866004329
2021,los marianos gang,los diablos gang,1,0
2021,los metros gang,los escorpiones gang,2,2.1972245773362196
2018,los metros gang,los escorpiones gang,2,2.1972245773362196
2021,cartel jalisco nueva generacion,los espartanos gang,1,12.442199547202511
2020,los surenos gang,los macheteros gang,1,0
2020,los chapitos gang,los mayitos gang,2,1.3862943611198906
2020,los chapitos gang,los mayitos gang,2,1.3862943611198906
2021,los zetas - cartel del noreste faction,los metros gang,3,7.692113339595466
2020,los zetas - cartel del noreste faction,los metros gang,3,7.692113339595466
2018,los zetas - cartel del noreste faction,los metros gang,3,7.692113339595466
2018,los escorpiones gang,los metros gang,3,2.1972245773362196
2018,los escorpiones gang,los metros gang,3,2.1972245773362196
2018,los escorpiones gang,los metros gang,3,2.1972245773362196
2019,los molina gang,los panchos gang,1,0
2018,pocos pero locos gang,los parkas gang,2,1.3862943611198906
2018,pocos pero locos gang,los parkas gang,2,1.3862943611198906
2019,gulf cartel,los pelones cartel,1,10.666137474577225
2019,los chulos gang,los pitos gang,1,0
2018,los chirra gang,los platanitos gang,1,0
2020,huahua communal militia (mexico),los pulido gang,1,0
2019,los vagos gang,los renegados gang,1,0
2020,cartel jalisco nueva generacion,los reyes communal militia (mexico),1,12.442199547202511
2018,cartel de tlahuac,los rodolfos gang,1,0
2019,cartel jalisco nueva generacion,los rojos gang,2,12.442199547202511
2019,cartel jalisco nueva generacion,los rojos gang,2,12.442199547202511
2020,el senoron gang,los rojos gang,1,0
2020,la linea gang,los salazar gang,1,2.0794415416798357
2019,sinaloa cartel,sinaloa cartel,3,8.640118538253535
2018,tlacotepec communal militia (mexico),los tequileros gang,1,0
2021,cartel jalisco nueva generacion,los viagras gang,19,12.442199547202511
2020,cartel jalisco nueva generacion,los viagras gang,19,12.442199547202511
2020,cartel jalisco nueva generacion,los viagras gang,19,12.442199547202511
2020,cartel jalisco nueva generacion,los viagras gang,19,12.442199547202511
2020,cartel jalisco nueva generacion,los viagras gang,19,12.442199547202511
2020,cartel jalisco nueva generacion,los viagras gang,19,12.442199547202511
2020,cartel jalisco nueva generacion,los viagras gang,19,12.442199547202511
2020,cartel jalisco nueva generacion,los viagras gang,19,12.442199547202511
2020,cartel jalisco nueva generacion,los viagras gang,19,12.442199547202511
2020,cartel jalisco nueva generacion,los viagras gang,19,12.442199547202511
2020,cartel jalisco nueva generacion,los viagras gang,19,12.442199547202511
2019,cartel jalisco nueva generacion,los viagras gang,19,12.442199547202511
2019,cartel jalisco nueva generacion,los viagras gang,19,12.442199547202511
2019,cartel jalisco nueva generacion,los viagras gang,19,12.442199547202511
2019,cartel jalisco nueva generacion,los viagras gang,19,12.442199547202511
2019,cartel jalisco nueva generacion,los viagras gang,19,12.442199547202511
2019,cartel jalisco nueva generacion,los viagras gang,19,12.442199547202511
2018,cartel jalisco nueva generacion,los viagras gang,19,12.442199547202511
2018,cartel jalisco nueva generacion,los viagras gang,19,12.442199547202511
2018,los zetas - cartel del noreste faction,los zetas,1,7.692113339595466
2018,cartel jalisco nueva generacion,los zetas,266,12.442199547202511
2019,cartel jalisco nueva generacion,los zetas,266,12.442199547202511
2019,cartel jalisco nueva generacion,los zetas,266,12.442199547202511
2018,los zetas - cartel del noreste faction,los zetas - old school zetas faction,46,7.692113339595466
2018,los zetas - cartel del noreste faction,los zetas - old school zetas faction,46,7.692113339595466
2020,cartel jalisco nueva generacion,maruatilla communal militia (mexico),1,12.442199547202511
2018,maya indigenous militia (mexico),maya indigenous militia (mexico),1,0
2019,mixe indigenous militia (mexico),mixe indigenous militia (mexico),1,0
2019,b-18 (s): barrio-18 (surenos),ms-13: mara salvatrucha,1,0
2018,cartel jalisco nueva generacion,nueva plaza cartel,68,12.442199547202511
2021,chamula militia,san cristobal de las casas communal militia (mexico),1,1.0986122886681098
2020,san agustin oapan communal militia (mexico),san miguel tecuiciapan communal militia (mexico),1,0
2018,santa isabel de la reforma communal militia (mexico),santa maria nativitas coatlan communal militia (mexico),1,0
2020,aldama indigenous militia (mexico),santa martha indigenous militia (mexico),4,2.772588722239781
2020,aldama indigenous militia (mexico),santa martha indigenous militia (mexico),4,2.772588722239781
2020,aldama indigenous militia (mexico),santa martha indigenous militia (mexico),4,2.772588722239781
2019,aldama indigenous militia (mexico),santa martha indigenous militia (mexico),4,2.772588722239781
2021,cartel jalisco nueva generacion,santa rosa de lima cartel,180,12.442199547202511
2021,cartel jalisco nueva generacion,santa rosa de lima cartel,180,12.442199547202511
2021,cartel jalisco nueva generacion,santa rosa de lima cartel,180,12.442199547202511
2020,cartel jalisco nueva generacion,santa rosa de lima cartel,180,12.442199547202511
2020,cartel jalisco nueva generacion,santa rosa de lima cartel,180,12.442199547202511
2020,cartel jalisco nueva generacion,santa rosa de lima cartel,180,12.442199547202511
2020,cartel jalisco nueva generacion,santa rosa de lima cartel,180,12.442199547202511
2018,cartel jalisco nueva generacion,santa rosa de lima cartel,180,12.442199547202511
2018,san mateo yucutindoo communal militia (mexico),santiago amoltepec communal militia (mexico),1,0
2021,los rojos gang,santiago miltepec communal militia (mexico),1,2.302585092994046
2019,san martin peras communal militia (mexico),santo reyes zochiquilazala communal militia (mexico),1,0
