"year","country","v2lgqugen","v2xeg_eqprotec","regime_type","v2elloelsy","Actor1Type","Target1Type","EventViolence"
1992,"Albania",0,0.612,5,6,2,1,1
1992,"Albania",0,0.612,5,6,2,1,1
1992,"Albania",0,0.612,5,6,2,1,1
1992,"Albania",0,0.612,5,6,2,1,1
1996,"Albania",0,0.612,0,5,5,1,0
1996,"Albania",0,0.612,0,5,1,2,0
1996,"Albania",0,0.612,0,5,1,2,0
1996,"Albania",0,0.612,0,5,2,2,1
1996,"Albania",0,0.612,0,5,1,2,0
1996,"Albania",0,0.612,0,5,3,1,0
1996,"Albania",0,0.612,0,5,1,3,0
1996,"Albania",0,0.612,0,5,1,3,0
1996,"Albania",0,0.612,0,5,1,3,1
1996,"Albania",0,0.612,0,5,1,3,1
1996,"Albania",0,0.612,0,5,3,1,1
1996,"Albania",0,0.612,0,5,2,1,1
1996,"Albania",0,0.612,0,5,2,1,1
1996,"Albania",0,0.612,0,5,2,1,1
1996,"Albania",0,0.612,0,5,2,1,1
1996,"Albania",0,0.612,0,5,2,1,1
1996,"Albania",0,0.612,0,5,3,1,0
1996,"Albania",0,0.612,0,5,3,1,0
1996,"Albania",0,0.612,0,5,3,1,0
1996,"Albania",0,0.612,0,5,3,1,0
1996,"Albania",0,0.612,0,5,3,1,0
1996,"Albania",0,0.612,0,5,3,1,0
1996,"Albania",0,0.612,0,5,3,1,0
1996,"Albania",0,0.612,0,5,3,1,0
1996,"Albania",0,0.612,0,5,3,1,0
1996,"Albania",0,0.612,0,5,3,1,0
1996,"Albania",0,0.612,0,5,3,1,0
1997,"Albania",0,0.612,5,5,2,1,1
1997,"Albania",0,0.612,5,5,2,1,1
1997,"Albania",0,0.612,5,5,2,2,1
1997,"Albania",0,0.612,5,5,2,1,1
1997,"Albania",0,0.612,5,5,2,3,1
1997,"Albania",0,0.612,5,5,2,1,1
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,1
1997,"Albania",0,0.612,5,5,2,1,1
1997,"Albania",0,0.612,5,5,2,3,1
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,1
1997,"Albania",0,0.612,5,5,2,1,1
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,1
1997,"Albania",0,0.612,5,5,2,1,1
1997,"Albania",0,0.612,5,5,2,1,1
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,2,1,1
1997,"Albania",0,0.612,5,5,3,1,0
1997,"Albania",0,0.612,5,5,1,2,1
1997,"Albania",0,0.612,5,5,4,1,1
1997,"Albania",0,0.612,5,5,4,1,1
1997,"Albania",0,0.612,5,5,4,1,0
1997,"Albania",0,0.612,5,5,4,1,0
1997,"Albania",0,0.612,5,5,4,1,1
1997,"Albania",0,0.612,5,5,1,2,1
1997,"Albania",0,0.612,5,5,4,1,1
1997,"Albania",0,0.612,5,5,4,1,1
1997,"Albania",0,0.612,5,5,4,1,1
1997,"Albania",0,0.612,5,5,4,1,1
1997,"Albania",0,0.612,5,5,4,1,1
1997,"Albania",0,0.612,5,5,4,1,1
1997,"Albania",0,0.612,5,5,4,1,1
1997,"Albania",0,0.612,5,5,4,1,1
1997,"Albania",0,0.612,5,5,4,1,1
1997,"Albania",0,0.612,5,5,2,1,1
1997,"Albania",0,0.612,5,5,2,1,1
1997,"Albania",0,0.612,5,5,2,1,1
1997,"Albania",0,0.612,5,5,2,1,1
1997,"Albania",0,0.612,5,5,2,1,1
1997,"Albania",0,0.612,5,5,2,1,1
1997,"Albania",0,0.612,5,5,2,1,1
1997,"Albania",0,0.612,5,5,2,1,0
1997,"Albania",0,0.612,5,5,4,1,1
1997,"Albania",0,0.612,5,5,4,1,1
